13.880000,	-2.092841,	0.645940

13.920000,	-2.060252,	0.741905

13.960000,	-2.027810,	0.805887

14.000000,	-1.995365,	0.869873

14.040000,	-1.930769,	0.933864

14.080000,	-1.898315,	0.997860

14.120000,	-1.801858,	0.997860

14.160000,	-1.801242,	1.125865

14.200000,	-1.768777,	1.189874

14.240000,	-1.704146,	1.253888

14.280000,	-1.639506,	1.317907

14.320000,	-1.607026,	1.381930

14.360000,	-1.510357,	1.413944

14.400000,	-1.477867,	1.477974

14.440000,	-1.413195,	1.542008

14.480000,	-1.348676,	1.574027

14.520000,	-1.251966,	1.606048

14.560000,	-1.155244,	1.638069

14.600000,	-1.122724,	1.702115

14.640000,	-1.090035,	1.798193

14.680000,	-0.993450,	1.798193

14.720000,	-0.896858,	1.798193

14.760000,	-0.832287,	1.830221

14.800000,	-0.735505,	1.862251

14.840000,	-0.638711,	1.894281

14.880000,	-0.574115,	1.926313

14.920000,	-0.477480,	1.926313

14.960000,	-0.412870,	1.958346

15.000000,	-0.316220,	1.958346

15.040000,	-0.187153,	1.990380

15.080000,	-0.154930,	1.990380

15.120000,	-0.058257,	1.990380

15.160000,	0.038424,	1.990380

15.200000,	0.038424,	1.990380

15.240000,	0.167344,	1.990380

15.280000,	0.264043,	1.990380

15.320000,	0.392783,	1.958346

15.360000,	0.457258,	1.958346

15.400000,	0.521737,	1.958346

15.440000,	0.618252,	1.926313

15.480000,	0.682737,	1.926313

15.520000,	0.779258,	1.894281

15.560000,	0.843534,	1.862251

15.600000,	0.940057,	1.830221

15.640000,	1.036582,	1.798193

15.680000,	1.068832,	1.798193

15.720000,	1.197388,	1.734140

15.760000,	1.261665,	1.702115

15.800000,	1.325711,	1.638069

15.840000,	1.389986,	1.606048

15.880000,	1.454260,	1.574027

15.920000,	1.550790,	1.542008

15.960000,	1.614825,	1.477974

16.000000,	1.678855,	1.413944

16.040000,	1.710868,	1.381930

16.080000,	1.774891,	1.317907

16.120000,	1.838910,	1.253888

16.160000,	1.870918,	1.221881

16.200000,	1.966933,	1.125865

16.240000,	2.030428,	0.997860

16.280000,	1.998174,	0.997860

16.320000,	2.062169,	0.933864

16.360000,	2.093907,	0.869873

16.400000,	2.125641,	0.805887

16.440000,	2.157372,	0.741905

16.480000,	2.156848,	0.677927

16.520000,	2.252806,	0.581970

16.560000,	2.220027,	0.518004

16.600000,	2.219496,	0.454043

16.640000,	2.283185,	0.358109

16.680000,	2.250405,	0.294160

16.720000,	2.282109,	0.230214

16.760000,	2.313538,	0.134305

16.800000,	2.280758,	0.070372

16.840000,	2.280215,	0.006442

16.880000,	2.311632,	-0.089443

16.920000,	2.182164,	-0.153360

16.960000,	2.278032,	-0.249228

17.000000,	2.277484,	-0.313134

17.040000,	2.276934,	-0.377036

17.080000,	2.276107,	-0.472880

17.120000,	2.211115,	-0.536770

17.160000,	2.178347,	-0.600656

17.200000,	2.210012,	-0.664536

17.240000,	2.112821,	-0.728413

17.280000,	2.111997,	-0.824219

17.320000,	2.079240,	-0.888084

17.360000,	2.046485,	-0.951944

17.400000,	1.981533,	-1.015800

17.440000,	1.948787,	-1.079651

17.480000,	1.916045,	-1.143497

17.520000,	1.819192,	-1.175419

17.560000,	1.786460,	-1.239259

17.600000,	1.689628,	-1.271177

17.640000,	1.688822,	-1.366924

17.680000,	1.623921,	-1.430750

17.720000,	1.559297,	-1.462661

17.760000,	1.526321,	-1.558388

17.800000,	1.397632,	-1.558388

17.840000,	1.364936,	-1.622200

17.880000,	1.268175,	-1.654104

17.920000,	1.203588,	-1.686008

17.960000,	1.138749,	-1.749811

18.000000,	1.074177,	-1.781710

18.040000,	0.977457,	-1.813609

18.080000,	0.912900,	-1.845506

18.120000,	0.848350,	-1.877403

18.160000,	0.751661,	-1.909298

18.200000,	0.687126,	-1.941192

18.240000,	0.590705,	-1.941192

18.280000,	0.589719,	-2.068756

18.320000,	0.493315,	-2.068756

18.360000,	0.396920,	-2.068756

18.400000,	0.300531,	-2.068756

18.440000,	0.204150,	-2.068756

18.480000,	0.107777,	-2.068756

18.520000,	-0.020708,	-2.068756

18.560000,	-0.052827,	-2.068756

18.600000,	-0.117063,	-2.068756

18.640000,	-0.213411,	-2.068756

18.680000,	-0.245525,	-2.068756

18.720000,	-0.341863,	-2.068756

18.760000,	-0.406083,	-2.068756

18.800000,	-0.502408,	-2.068756

18.840000,	-0.629973,	-1.941192

18.880000,	-0.758184,	-1.909298

18.920000,	-0.822183,	-1.877403

18.960000,	-0.918285,	-1.845506

19.000000,	-1.014384,	-1.813609

19.040000,	-1.078383,	-1.781710

19.080000,	-1.142381,	-1.749811

19.120000,	-1.238282,	-1.686008

19.160000,	-1.302283,	-1.654104

19.200000,	-1.366283,	-1.622200

19.240000,	-1.430095,	-1.558388

19.280000,	-1.462191,	-1.558388

19.320000,	-1.526008,	-1.494571

19.360000,	-1.589829,	-1.430750

19.400000,	-1.653655,	-1.366924

19.440000,	-1.749402,	-1.271177

19.480000,	-1.781320,	-1.239259

19.520000,	-1.845160,	-1.175419

19.560000,	-1.844986,	-1.143497

19.600000,	-1.972684,	-1.015800

19.640000,	-1.972515,	-0.983872

19.680000,	-2.004275,	-0.920014

19.720000,	-2.036040,	-0.856152

19.760000,	-2.067808,	-0.792285

19.800000,	-2.099580,	-0.728413

19.840000,	-2.131356,	-0.664536

19.880000,	-2.162975,	-0.568713

19.920000,	-2.194760,	-0.504826

19.960000,	-2.130231,	-0.440933

