# Time, Voltage
4.660000000000000253e-01,-1.292471975852352628e+00
4.680000000000000271e-01,-1.240233142408078137e+00
4.700000000000000289e-01,-1.183977851223602329e+00
4.720000000000000306e-01,-1.123706527646303854e+00
4.740000000000000324e-01,-1.059419627405516096e+00
4.760000000000000342e-01,-9.870999635941029027e-01
4.780000000000000360e-01,-9.147835810338964535e-01
4.799999999999999822e-01,-8.264013472582458775e-01
4.819999999999999840e-01,-7.500751808607546423e-01
4.839999999999999858e-01,-6.657189346320517842e-01
4.859999999999999876e-01,-5.773505145188888577e-01
4.879999999999999893e-01,-4.889869960278989680e-01
4.899999999999999911e-01,-4.006283791590821153e-01
4.919999999999999929e-01,-3.082587024108445206e-01
4.939999999999999947e-01,-2.158943830141151210e-01
4.959999999999999964e-01,-1.195199354512705980e-01
4.979999999999999982e-01,-3.118181627517735421e-02
5.000000000000000000e-01,6.116643106703101296e-02
5.020000000000000018e-01,1.494945241977703176e-01
5.040000000000000036e-01,2.378177157063365854e-01
5.060000000000000053e-01,3.261360055927298163e-01
5.080000000000000071e-01,4.144493938569500102e-01
5.100000000000000089e-01,4.947300388051818487e-01
5.120000000000000107e-01,5.750066328259979542e-01
5.140000000000000124e-01,6.472521039017919975e-01
5.160000000000000142e-01,7.194942937263792970e-01
5.180000000000000160e-01,7.756803950705943862e-01
5.200000000000000178e-01,8.519297862662380538e-01
5.220000000000000195e-01,9.081112087892879714e-01
5.240000000000000213e-01,9.642906463579041798e-01
5.260000000000000231e-01,1.012442870126454508e+00
5.280000000000000249e-01,1.056581127475164195e+00
5.300000000000000266e-01,1.096705752605544149e+00
5.320000000000000284e-01,1.124792387621356582e+00
5.340000000000000302e-01,1.152878526398561476e+00
5.360000000000000320e-01,1.176951964670742257e+00
5.380000000000000338e-01,1.188988547088031922e+00
5.400000000000000355e-01,1.201025038359455621e+00
5.420000000000000373e-01,1.205037181861959183e+00
5.440000000000000391e-01,1.201025038359455621e+00
5.460000000000000409e-01,1.193000720972491990e+00
5.480000000000000426e-01,1.176951964670742257e+00
5.500000000000000444e-01,1.160903046331895894e+00
5.520000000000000462e-01,1.132817049337150550e+00
5.540000000000000480e-01,1.100718159418329734e+00
5.560000000000000497e-01,1.064606133519788500e+00
5.580000000000000515e-01,1.028493287308444692e+00
5.600000000000000533e-01,9.803415496511842520e-01
5.620000000000000551e-01,9.362011756929007333e-01
5.640000000000000568e-01,8.760077818317615339e-01
5.660000000000000586e-01,8.238383306468008982e-01
5.680000000000000604e-01,7.636406833118751791e-01
5.700000000000000622e-01,6.994273479129571314e-01
5.720000000000000639e-01,6.311978383387568670e-01
5.740000000000000657e-01,5.629654019694978473e-01
5.760000000000000675e-01,4.947300388051818487e-01
5.779999999999999583e-01,4.224776406435069021e-01
5.799999999999999600e-01,3.462076606092718833e-01
5.819999999999999618e-01,2.619050081502791727e-01
5.839999999999999636e-01,2.016860934464208555e-01
5.859999999999999654e-01,1.254055303643131225e-01
5.879999999999999671e-01,4.912131132021180235e-02
5.899999999999999689e-01,-2.315132122390473057e-02
5.919999999999999707e-01,-9.542723501922800722e-02
5.939999999999999725e-01,-1.677064300657580276e-01
5.959999999999999742e-01,-2.359731271536347208e-01
5.979999999999999760e-01,-3.082587024108445206e-01
5.999999999999999778e-01,-3.805475589192610641e-01
6.019999999999999796e-01,-4.407907791876137793e-01
6.039999999999999813e-01,-5.010362781026369561e-01
6.059999999999999831e-01,-5.572674662689891534e-01
6.079999999999999849e-01,-6.175173705675778280e-01
6.099999999999999867e-01,-6.657189346320517842e-01
6.119999999999999885e-01,-7.139219570303954043e-01
6.139999999999999902e-01,-7.661435436511965236e-01
6.159999999999999920e-01,-7.942635684362340243e-01
6.179999999999999938e-01,-8.264013472582458775e-01
6.199999999999999956e-01,-8.665744822444292339e-01
6.219999999999999973e-01,-8.946962793102102296e-01
6.239999999999999991e-01,-9.147835810338964535e-01
6.260000000000000009e-01,-9.348711359405452725e-01
6.280000000000000027e-01,-9.469237904123577465e-01
6.300000000000000044e-01,-9.549589440301584631e-01
6.320000000000000062e-01,-9.589765360300361863e-01
6.340000000000000080e-01,-9.589765360300361863e-01
6.360000000000000098e-01,-9.549589440301584631e-01
6.380000000000000115e-01,-9.429062287944347531e-01
6.400000000000000133e-01,-9.308536047045787853e-01
6.420000000000000151e-01,-9.067486299624665236e-01
6.440000000000000169e-01,-8.946962793102102296e-01
6.460000000000000187e-01,-8.585397742286442480e-01
6.480000000000000204e-01,-8.264013472582458775e-01
6.500000000000000222e-01,-7.942635684362340243e-01
6.520000000000000240e-01,-7.661435436511965236e-01
6.540000000000000258e-01,-7.099049827969476922e-01
6.560000000000000275e-01,-6.657189346320517842e-01
6.580000000000000293e-01,-6.175173705675778280e-01
6.600000000000000311e-01,-5.653006551869932395e-01
6.620000000000000329e-01,-5.130856513232426863e-01
6.640000000000000346e-01,-4.568560227639455462e-01
6.660000000000000364e-01,-4.046445735890014106e-01
6.680000000000000382e-01,-3.484187731561121382e-01
6.700000000000000400e-01,-2.801472554646107227e-01
6.720000000000000417e-01,-2.239258502879675206e-01
6.740000000000000435e-01,-1.636908331476316647e-01
6.760000000000000453e-01,-1.074735396623154315e-01
6.780000000000000471e-01,-4.322763480697489058e-02
6.800000000000000488e-01,4.955092445015907288e-03
6.820000000000000506e-01,7.722644894699648432e-02
6.840000000000000524e-01,1.334352354847396782e-01
6.860000000000000542e-01,2.016860934464208555e-01
6.880000000000000560e-01,2.498614075012408620e-01
6.900000000000000577e-01,3.020496853713670049e-01
6.920000000000000595e-01,3.622648023307721843e-01
6.940000000000000613e-01,4.064211065611189611e-01
6.960000000000000631e-01,4.586042498807447743e-01
6.980000000000000648e-01,5.027578804989971673e-01
7.000000000000000666e-01,5.428964813289614000e-01
7.020000000000000684e-01,5.830340694270716995e-01
7.039999999999999591e-01,6.191570328296354120e-01
7.059999999999999609e-01,6.472521039017919975e-01
7.079999999999999627e-01,6.833736089704860461e-01
7.099999999999999645e-01,7.154809248183315873e-01
7.119999999999999662e-01,7.355476680853829663e-01
7.139999999999999680e-01,7.516008804072900062e-01
7.159999999999999698e-01,7.676539306921004169e-01
7.179999999999999716e-01,7.756803950705943862e-01
7.199999999999999734e-01,7.917332022997598528e-01
7.219999999999999751e-01,7.917332022997598528e-01
7.239999999999999769e-01,7.917332022997598528e-01
7.259999999999999787e-01,7.756803950705943862e-01
7.279999999999999805e-01,7.756803950705943862e-01
7.299999999999999822e-01,7.716671679450062271e-01
7.319999999999999840e-01,7.516008804072900062e-01
7.339999999999999858e-01,7.315343396866094139e-01
7.359999999999999876e-01,7.154809248183315873e-01
7.379999999999999893e-01,6.873870588970820705e-01
7.399999999999999911e-01,6.472521039017919975e-01
7.419999999999999929e-01,6.271842466297012919e-01
7.439999999999999947e-01,5.950751483737928282e-01
7.459999999999999964e-01,5.589516380960279918e-01
7.479999999999999982e-01,5.147995670848306560e-01
7.500000000000000000e-01,4.786742338897287397e-01
7.520000000000000018e-01,4.385340126887982137e-01
7.540000000000000036e-01,3.943785996624828982e-01
7.560000000000000053e-01,3.421933498606009039e-01
7.580000000000000071e-01,2.940208309456977531e-01
7.600000000000000089e-01,2.498614075012408620e-01
7.620000000000000107e-01,2.016860934464208555e-01
7.640000000000000124e-01,1.494945241977703176e-01
7.660000000000000142e-01,1.053310903351718508e-01
7.680000000000000160e-01,5.313636136313704128e-02
7.700000000000000178e-01,4.955092445015907288e-03
7.720000000000000195e-01,-4.322763480697489058e-02
7.740000000000000213e-01,-9.141182039283535232e-02
7.760000000000000231e-01,-1.395974643125654779e-01
7.780000000000000249e-01,-1.877845665661652674e-01
7.800000000000000266e-01,-2.319573580710940774e-01
7.820000000000000284e-01,-2.761313749815652585e-01
7.840000000000000302e-01,-3.122746639124382995e-01
7.860000000000000320e-01,-3.524348359308913103e-01
7.880000000000000338e-01,-3.925960206811982545e-01
7.900000000000000355e-01,-4.247256976483786417e-01
7.920000000000000373e-01,-4.608723589763243922e-01
7.940000000000000391e-01,-4.889869960278989680e-01
7.960000000000000409e-01,-5.171021293180810829e-01
7.980000000000000426e-01,-5.371846712020538206e-01
8.000000000000000444e-01,-5.653006551869932395e-01
8.020000000000000462e-01,-5.813671545508238836e-01
8.040000000000000480e-01,-5.974338159517511571e-01
8.060000000000000497e-01,-6.094839183392917192e-01
8.080000000000000515e-01,-6.175173705675778280e-01
8.100000000000000533e-01,-6.295676248648955919e-01
8.120000000000000551e-01,-6.295676248648955919e-01
8.140000000000000568e-01,-6.295676248648955919e-01
8.160000000000000586e-01,-6.295676248648955919e-01
8.180000000000000604e-01,-6.215341118726982472e-01
8.200000000000000622e-01,-6.135006393897750598e-01
8.220000000000000639e-01,-6.014505066202797678e-01
8.240000000000000657e-01,-5.894004649966504417e-01
8.260000000000000675e-01,-5.693172648369735356e-01
8.280000000000000693e-01,-5.492343178602592246e-01
8.300000000000000711e-01,-5.251351156897143824e-01
8.320000000000000728e-01,-5.050527257155206229e-01
8.339999999999999636e-01,-4.769378050990269458e-01
8.359999999999999654e-01,-4.448070748907184679e-01
8.379999999999999671e-01,-4.126769928307965074e-01
8.399999999999999689e-01,-3.805475589192610641e-01
8.419999999999999707e-01,-3.484187731561121382e-01
8.439999999999999725e-01,-3.122746639124382995e-01
8.459999999999999742e-01,-2.761313749815652585e-01
8.479999999999999760e-01,-2.359731271536347208e-01
8.499999999999999778e-01,-1.958158920575581163e-01
8.519999999999999796e-01,-1.516441031571655884e-01
8.539999999999999813e-01,-1.155044600609667071e-01
